,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
44,3,RS11.21,03/01/2017,828,830,842,12,ORE - LAG,KM 27 AKINFOSILE,KJA 63 DZ & LND 207 CX,CAR & JEEP,2 PVT,INFINITY & CHRISLER,NEON & JEEP,,,,DGD &  FEV,4,4,0,1,9,1,0,0,1,2,5,4,0,2,11
45,4,RS11.21,03/01/2017,1645,1647,1648,1,ORE - LAG,KM 3.3 NNPC FILLING STATION,NPF & UWN 420 ZT,P/UP & BUS,GOV & COM,2 TYT,HILUX & HIACE,,,,DGD,4,2,0,0,6,0,0,0,0,0,13,4,0,0,17
46,5,RS11.21,06/01/2017,1230,1234,1244,10,ORE - BEN,KM 24 OFOSU,NO NOS,TNK,COM,MACK,TNK,,,,DGD & SLV,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3
47,6,RS11.21,06/01/2017,1603,1604,1606,2,ORE - BEN,KM 24 OFOSU,KNM 800 XA,BUS,COM,TYT,HIACE,,,,SLV & BFL,2,2,0,0,4,0,0,0,0,0,6,9,1,2,18
48,7,RS11.21,12/01/2017,905,917,927,10,ORE - BEN,KM12 ASEJIRE,AWK 147 YC & FST 480 XK,BUS & TNK,PVT & COM,TYT & BEDFORD,SIENNA & LORRY,,,,SPV & DGD,2,0,0,0,2,2,0,0,0,2,13,0,0,0,13
49,8,RS11.21,12/01/2017,1745,1748,1751,9,ORE - BEN,KM 3 ORE JUNCT.,"REL 265 XA, AKR 156 AG, KJA 503 DW, GDD 433 YD & AKU 844 XA","3 BUS, CAR & TRL",3 PVT & 2 COM,4 TYT & MACK ,"2 PICNICS, AVENSIS, TRL & HIACE",,,,SLV & BFL,4,2,0,0,6,0,0,0,0,0,8,8,0,0,16
50,9,RS11.21,17/01/2017,220,230,240,10,ORE - LAG,KM 40 ONOPARAGA,KJA 999 XT,TRK,COM,SCANIA,TRK,,,,SPV & LOC,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
51,1,RS11.22,03/01/2017,1015,1016,1019,3,OWO - AKR,KM 0.7 FRM IKR JUNCT. B4 NIPCO PETROL STATION,WWW 206 MW & DR 519 LSR,2 CAR,2 PVT,NISSAN & TYT,ALMERA & PREVIA,,,,DGD,2,0,0,0,2,0,0,0,0,0,8,3,0,0,11
52,2,RS11.22,03/01/2017,1030,1035,1043,8,OWO - IFON,KM 18 MELENGE MARKET,EPE 868 BF & AKL 619 YY,CAR & BUS,2 PVT,PGT & INNOSON,504 & BUS,,,,DGD,12,13,0,1,26,0,1,0,0,1,12,13,0,1,26
53,3,RS11.22,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,RS11.23,02/01/2017,1514,1517,1523,6,IKR - ISUA,KM 2 THEO AKANDE FILLING STATION IKR AKOKO,"AKD 335 AA, AKR 521 WK & JMU 274 VN","CAR, & 2 BIKE",PVT & B2 COM,TYT & 2 BAJAJ,CAMRY &B 2 BOXERSS,,,,BFL,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4
55,2,RS11.23,04/01/2017,1116,1118,1121,4,IKR - ISUA,KM 21 OKE OKA,KUJ 359 GW,P/UP,COM,MIST,P/UP,,,,BFL,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3
56,3,RS11.23,06/01/2017,1330,1334,1341,7,IKR - ISUA,KM 21 OKIA VALLEY,SMK 891 XT,TRL,COM,MACK,TRL,,,,BFL,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3
57,4,RS11.23,08/01/2017,1625,1630,1637,7,IKR - ISUA,KM  17 OKE OKA,EKY 505 XA & BLG 444 XA,2 TRL,2 COM,2 DAF,2 TRF,,,,BFL,3,0,0,0,3,0,0,0,0,0,8,0,0,0,8
58,5,RS11.23,08/01/2017,1245,1250,1301,11,IKR - ISUA,KM 24 EPIMI NNNPC FILLING BSTATION,IKK 188 UK,BUS,COM,PGT,J5,,,,BFL,2,0,0,0,2,2,0,0,0,2,4,0,0,0,4
59,6,RS11.23,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,7,RS11.23,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8,RS11.23,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,RS11.24,02/01/2017,2240,2242,2253,11,OND - IFE,KM 8 BEULA,SRA 795 MY,BIKE,COM,BAJAJ,BOXERS,,,,SLV,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
63,2,RS11.24,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,RS11.24,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,RS11.25,04/01/2017,1230,1231,1236,5,IFON - BEN,KM 9 SOBE,AKR 086 XE & AKR 160 YZ,2 BUS,PVT & COM,2 TYT,SHARON & HIACE,,,,SLV,8,7,0,0,15,0,0,0,0,0,10,16,0,0,26
66,2,RS11.25,06/01/2017,20,22,30,8,IFON - BEN,KM 22 AGBANIKAKA AREA,SMK 676 XM & NIGERIA ARMY,TNK & P/UP,COM & GOV,MACK &TYT,TNK & P/UP,,,,SLV,2,0,0,0,2,1,0,0,0,1,5,2,0,0,7
67,3,RS11.25,16/01/2017,1305,1310,1313,3,IFON - BEN,KM 2 ADELABU  JUNCT. ,KRD 181 EM,CAR,PVT,TYT,CAMRY,,,,SLV,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
68,1,RS11.2,01/02/2017,630,630,631,1,AKR - OWO,KM 1 INFRONT OF FRSC OFFICE,HIT & RUN,HIT & RUN,0,0,0,,,,DGD,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
69,2,RS11.2,01/02/2017,1330,1330,1333,3,AKR - IPT,KM 3 FUTA GATE NORTH GATE,KSF 881 XT,TRK,COM,MACK,TRK,,,,DGD,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
70,3,RS11.2,04/02/2017,1210,1217,1230,13,AKR - IPT,KM 12 ERO,LSR 507 EM & XA 908 GKB,CAR & BUS,PVT  & COM,2 TYT,COROLLA & HIACE,,,,WOV,4,4,0,0,8,0,0,0,0,0,9,8,0,0,17
71,4,RS11.2,14/02/2017,310,320,335,15,AKR - IPT,KM 16 IGBARA OKE,LND 11 XC ,BUS,COM,TYT,HIACE,,,,DGD,3,1,0,0,4,0,0,0,0,0,15,2,0,0,17
72,5,RS11.2,14/02/2017,1600,1602,1604,2,AKR - OWO,KM 0.2 SECRETARIAT,QC 208 LUY & HIT & RUN,BIKE,COM,GINCHENG,BIKE,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
73,6,RS11.2,24/02/2017,650,655,705,10,AKR - OWO,KM 7.5 BENIN PARK,DKA 596 ZV & AKR 670 YZ,TNK & CAR,COM & PVT,MACK & DATSUN,TNK & CAR,,,,SOS,2,2,0,0,4,0,0,0,0,0,4,2,0,0,6
74,1,RS11.21,03/02/2017,430,433,440,7,ORE - BEN,KM 3 CAROJI,KSF 727 XS,BUS,COM,TYT,HIACE,,,,SPV & LOC,8,1,0,0,9,2,0,0,0,2,14,1,0,0,15
75,2,RS11.21,05/02/2017,1758,1800,1804,4,ORE - BEN,KM 4 AZOP BRIDGE ,KRD 533 CJ,CAR,PVT,MIST,CAR,,,,DGD,1,0,0,0,1,1,0,0,0,1,2,1,0,0,3
76,3,RS11.21,10/02/2017,936,946,958,11,ORE - LAG,KM 18 STEP DOWN,EKY 673 XT & RAN 237 XA,TRK & TRL,2 COM,SCANIA & HOW0,TRK & TRL,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,5,0,0,0,5
77,4,RS11.21,11/02/2017,326,352,405,13,ORE - LAG,KM 18 STEP DOWN,BJE 78 LG & DAL 568 ZX,TRK & TRL,GOV & COM,M/BENZ & HOWO SINO TRK,TRK & TRL,,,,SPV,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5
78,5,RS11.21,14/02/2017,1311,1313,1315,2,ORE - LAG,KM 4 TOLL GATE,EKY 163 BK & NO NOS,CAR & BIKE,PVT  & COM,TYT & HAJUOE,COROLLA & ELEGANT,,,,SPV,1,1,0,0,2,0,0,0,0,0,2,2,1,1,6
79,6,RS11.21,14/02/2017,1730,1734,1738,4,ORE - LAG,KM 42 KAJOLA,KMC 45 XR & LND 298 XB,TRL & TRK,2 COM,HOWO SINO & MACK,TRL & TRK,,,,RTV,5,0,0,0,5,0,0,0,0,0,6,0,0,0,6
80,7,RS11.21,22/02/2017,1705,1710,1715,5,ORE - LAG,KM 20 AGO ODOGUN,XA 266 KRA & JJJ 698 XP,TNK & TRL,2 COM,BEDFORD & TURBO IVECO,TNK & TRL,,,,RTV,3,0,0,0,3,1,0,0,0,1,5,0,0,0,5
81,1,RS11.22,04/02/2017,1120,1123,1128,5,OWO - IFON,KM 2.5 OPP ECO BANK,WWW 77 XA & XA 303 KMC,TRK & BUS,2 COM,M/BENZ & PGT,TRK & J5,,,,SPV & MDV,1,0,0,0,1,0,0,0,0,0,7,7,4,6,24
82,2,RS11.22,25/02/2017,1815,1818,1823,3,OWO - IFON,KM 2 SHAGARI TOWN,MUS 351 CJ,CAR,PVT,TYT,CAMRY,,,,SPV,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4
83,1,RS11.23,12/02/2017,830,833,842,9,IKR - ISUA,KM 21 OKIA,AAA 823 EF & NO NOS,CAR & TRL,PVT  & COM,TYT & HOWO SINO,COROLLA & TRL,,,,BFL,2,2,0,0,4,0,0,0,0,0,7,2,0,0,9
84,2,RS11.23,26/02/2017,1445,1450,1501,11,IKR - ISUA,KM 18 PKE OKA,"KKH 56 AA, NO NOS & SMK 171 XN","CAR, TRK & LUX BUS",PVT & 2 COM,"NISSAN, DAF & MERCEDES","SUNNY,  TRK & 260",,,,BFL,10,0,0,0,10,0,0,0,0,0,24,1,0,0,25
85,1,RS11.24,05/02/2017,928,930,939,9,OND - ORE,KM 6 INDIGO AXIS,REE 709 AA & QY 321 KSD,BUS & BIKE,PVT  & COM,TYT & HAJUOE,PICNIN & SUZUKI,,,,SPV,0,0,0,0,0,1,0,0,0,1,7,3,0,0,10
86,2,RS11.24,26/02/2017,820,822,836,14,OND - AKR,KM 8 OBOTO,AKR 648 AE,CAR,PVT,V/WAGEN,CAR,,,,SPV & WOV,1,2,0,0,3,0,0,0,0,0,2,5,0,0,7
87,3,RS11.24,26/02/2017,1922,1924,1936,12,OND - AKR,KM 7 IGBA AXIS,AKR 14 YT & DV 87 FST,2 CAR,2 PVT,2 NISSAN,PRIMERA & ALTIMA,,,,SPV,2,1,0,0,3,0,0,0,1,1,2,1,0,1,4
88,1,RS11.25,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,RS11.2,02/04/2017,1210,1213,1225,12,AKR - OND,KM 22 KAJOLA,YAB 402 ZK,BUS,COM,TYT,HIACE,,,,SPV,1,2,1,1,5,0,0,0,0,0,7,5,1,1,14
90,2,RS11.2,08/04/2017,1500,1505,1520,15,AKR - OWO,KM 14 ELEYOWO AFTER AIRPORT,KTU 176 BL & NO NOS,CAR & BIKE,PVT & COM,TYT & HAOJUE,CAMRY & BOXERS,,,,SPV,0,0,0,0,0,2,0,0,0,2,4,0,0,0,4
91,3,RS11.2,15/04/2017,1339,1339,1339,0,AKR - OND,KM 3 OPP ST THOMAS EVENT CENTER,HZ 751 ABC,CAR,COM,HONDA,ACCORD,,,,DGD,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
92,4,RS11.2,16/04/2019,1425,1430,1440,10,AKR - IPT,KM 2 OPP BADUK FILLING STATION,AGL 36 XG & MUS 676 BE,TRL & CAR,COM & PVT,MACK & V/WAGEN,TRL & PASSAT,,,,BFL,1,0,1,0,2,0,0,0,0,0,4,0,1,1,6
93,5,RS11.2,16/04/2017,2220,2225,2230,5,AKR - OWO,KM 1 OPP MANIA FILLING STATION,"LSR 846 BS, RYM 249 XA, KSF 655 DH & KS 496 BDG",2 CAR & 2 BUS,2 PVT & 2 COM,2 TYT & 2 PGT,"CAMRY, J5, COROLLA & J5",,,,TBT,4,0,0,0,4,0,0,0,0,0,8,1,0,0,9
94,6,RS11.2,18/04/2017,1335,1400,1418,18,AKR - OWO,KM 17 ILU ABO,KJA 905 EH,JEEP,PVT,HONDA,PICATO,,,,SPV,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4
95,7,RS11.2,21/04/2017,2050,2054,2100,6,AKR - OWO,KM  SHASHA MARKET,KSF 974 DX & FGB 568 YH,CAR & BIKE,PVT & COM,TYT & TVS,CAMRY & BIKE,,,,DGD,2,0,0,0,2,1,0,0,0,1,4,0,0,0,4
96,8,RS11.2,28/04/2017,1920,1925,1935,10,AKR -IPT,KM 4 AFTER FUTA GATE,HIT  & RUN & GBA 579 QF,BIKE,COM,HAOJUE,ELEGANT,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
97,9,RS11.2,30/04/2017,840,842,850,8,AKR - T/SHIP,KM 2 ADEBOWALE GAS,FKY 285 XL & HF 224 AAA,TRL & CAR,COM & PVT,MACK & TYT,TRL & CORROLA,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
98,1,RS11.21,01/04/2017,1425,1430,1435,5,ORE - LAG,KM 56 AJEBANDELE,LSR 560 XJ & LSD 953 CH,BUS & CAR,COM & PVT,2 TYT,HIACE &  COROLLA,UBI TRANSIT,,,SPV,1,0,0,0,1,0,0,0,0,0,11,7,0,0,18
99,2,RS11.21,10/04/2017,2015,2025,2045,20,ORE - BEN,KM 20 ASEJIRE,APP 317 XF & NO NOS,TRL & BIKE,2 COM,DAF & SUZUKI,TRL & HAOJUE,PURE DUFIL FLOUR MILL,,,DOT & SPV,0,0,0,1,1,0,1,1,0,2,3,1,1,1,6
100,3,RS11.21,12/04/2017,2006,2053,2104,11,ORE - BEN,KM 32 BY MILITARY CHECK POINT,JUT  138 XA & BEN 07 XA,TRL & BUS,2 COM,HOWO SINO & TYT,TRL & HIACE,DANGOTE TRANS & EDEGBE TRANS,,,SPV,2,0,0,0,2,1,0,0,0,1,11,5,0,0,16
101,4,RS11.21,13/04/2017,1708,1718,1724,6,ORE - BEN,KM 6 CAROSOJI,LND 529 XA & NLC 35 FCT,BUS & TRK,COM & GOV,TYT & DAF,HIACE & TRK,YOUNG SHALL GROWN & NLC,,,SPV,1,0,0,0,1,0,0,0,0,0,9,4,0,0,13
102,5,RS11.21,18/04/2017,1047,1055,1103,8,ORE - LAG,KM 9 MTN MAST ,GGE 799 EF,BUS,PVT,TYT,SIENNA,,,,SPV,3,2,0,0,5,0,0,0,0,0,3,3,0,0,6
103,1,RS11.22,02/04/2014,1610,1620,1625,5,OWO - AKR,KM 24 USO,FKJ 996 CP & XA 447 AGL,CAR & TRK,PVT & COM,TYT & MAN DIESEL,CAMRY  & TRK,,,,WOV,3,1,0,0,4,0,0,0,0,0,5,1,0,0,6
104,2,RS11.22,06/04/2017,1130,1133,1137,4,OWO - AKR,KM 10 EMURE JUNCT,AKD 304 XT,BUS,COM,TYT,HIACE,,,,MDV & LOC,2,1,0,0,3,0,0,0,0,0,9,5,1,0,15
105,3,RS11.22,10/04/2017,920,923,926,3,OWO - AKR,KM 18 AMURIN,KTU 415 AX,CAR,COM,NISSAN ,ALMERA,,,,SPV &  LOC,0,1,0,0,1,0,0,0,0,0,2,2,0,2,6
106,4,RS11.22,10/04/2017,1035,1037,1042,5,OWO - AKR,KM 10 EMURE VILLAGE,WWW 767 XA,BUS,COM,FORD,DUCCANTO,,,,SLV & LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
107,5,RS11.22,11/04/207,1640,1653,1658,5,OWO - T/SHIP,KM 4 GRA,NO NOS & NO NOS,2 BIKE,2 COM,2 BAJAJ,2 BOXERS,,,,SPV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
108,6,RS11.22,13/04/2017,1725,1728,1731,4,OWO - AKR,KM 1.5 NIPCO FILLING STATION,NO NOS & JJJ 635 DK,BIKE & CAR,COM & PVT,BAJAJ & TYT,BOXERS & CAMRY,,,,WOV,2,0,0,0,2,0,0,0,0,0,6,3,0,0,9
109,7,RS11.22,14/04/2017,1310,1316,1323,7,OWO - AKR,KM 18 AMURIN,RSH 812 HF & AL 635 LKJ,2 CAR,2 PVT,2 TYT,CAMRY & CARINA,,,,BRD,6,0,0,0,6,0,0,0,0,0,7,0,0,0,7
110,8,RS11.22,27/04/2017,430,605,611,6,OWO - IKR,KM 10 AGOPANU,XB 481 GWA & KRD 75 XU,BUS & TRK,2 COM,DAF & PGT,J5 & TRK,,,,OBS,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4
111,1,RS11.23,12/04/2017,1020,1033,1045,12,IKR - OWO,KM 21 AGO OKA OBA AKOKO,KAA 186 FK & KTU 97 XN,CAR & TRL,PVT & COM,NISSAN & HOWO,PREMIRA & TRL,,,,SPV,2,0,0,0,2,0,0,0,0,0,6,0,0,0,6
112,2,RS11.23,14/04/2017,430,440,456,16,IKR - ISUA,KM 18 OKIA VALLEY,XA 868 ABT,TRK,COM,DAF,TRK,,,,BFL,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
113,3,RS11.23,14/04/2017,1630,1635,1651,16,IKR - ISUA,KM 18 OKIA VALLEY,01Z121FG & BEN 133 YQ,P/UP & BUS,GOV & COM,2 TYT,HILUX & HIACE,,,,RTV,4,2,0,0,6,0,0,0,0,0,13,6,0,0,19
114,4,RS11.23,15/04/2017,1830,1833,1837,4,IKR - ADO,KM 2 NYSC CAMP,HIT & RUN,0,0,0,0,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
115,5,RS11.23,16/04/2017,130,1232,1235,3,IKR - ISUA,KM 18 OKE - OKA,MSH 51 XA,BUS,COM,PGT,J5,,,,BFL,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
116,6,RS11.23,22/04/2017,920,923,935,12,IKR - OWO,KM 22 OGO AJAYI OBA AKOKO,"KJA 851 XU, MUS 976 DA & LND 689 DK",TRL & 2 CAR,COM & 2 PVT,MARK & 2 TYT,TRL & 2 COROLLA,,,,SPV,1,1,0,0,2,0,0,0,0,0,5,2,2,1,10
117,1,RS11.24,09/04/2017,1735,1737,1757,20,OND - AKR,KM 13 OWENA,NND 855 AA & EPE 96 BG,CAR & BUS,PVT & COM,2 TYT,COROLLA & HIACE,,,,SPV,9,6,0,1,16,0,0,0,0,0,9,6,0,1,16
118,2,RS11.24,17/04/2017,1958,2000,2010,10,OND - IFE,KM 12 IYANA,RLG 450 XA & NO NOS,BUS & TRK,2 COM,SUZUKI & ASTON 3POLE,CARRY BUS & TRK,,,,SPV & ROV,0,0,0,0,0,3,3,0,0,6,3,3,0,0,6
119,3,RS11.24,21/04/2017,1110,1113,1123,10,OND - T/SHIP,KM 3 DIAMOND BANK,XB 733 BD,BUS,COM,MAZDA,EZ 300,,,,SPV & BFL,3,5,0,0,8,0,0,0,0,0,4,5,0,0,9
120,4,RS11.24,21/04/2017,500,600,602,2,OND - ORE,KM 02 IFE PARK R/ABOUT,NO NOS,TRK,COM,MARK,TRK,,,,SPV & LOC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
121,5,RS11.24,23/04/2017,1800,1802,1810,8,OND - IFE,KM 5 VALENTINO JUNCTION,KJA 544 DC,BUS,COM,TYT,SIENNA,,,,SPV,1,0,0,0,1,2,0,0,0,2,4,0,0,0,4
122,1,RS11.25,30/04/2017,850,853,856,3,IFON - OWO,KM 1 OPP AKURE PARK,LSD 872 CZ,CAR,PVT,HONDA,ACCORD,,,,SLV ,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
123,1,RS11.2,01/05/2017,930,935,950,15,AKR - OWO,KM 20 OGBESE,KTU B151 BP & CM 175 RSH,2 CAR,2 PVT,HONDA & NISSAN,JAZZ & PRIMERA,,,,SPV,6,0,0,0,6,0,0,0,0,0,7,0,0,0,7
124,2,RS11.2,01/05/2017,2215,2216,2218,15,AKR - OWO,KM 1 AFTER BASE,KTP 214 XA & MUS 506 XS,CAR & TRK,2 COM,V/WAGEN & DAF,GOLF & TRK,,,,SPV & DGD,0,0,0,0,0,1,0,0,0,1,5,0,0,0,5
125,3,RS11.2,07/05/2017,650,700,715,15,AKR - IPT,KM 12 ERO JUNCTION,"FST 611 XA, XY 942 EKY & MUS 213 XT",2 TRK & BUS,3 COM,"SCANIA, TYT & M/BENZ","TRK, HIACE & TRK",,,,DGD & OBS,14,2,3,0,19,1,0,0,0,1,19,2,3,0,24
126,4,RS11.2,07/05/2017,750,753,800,7,AKR - T/SHIP,20M FUTA JUNCTION,"AKR 334 YT, WWW 357 AE & NND 144 YJ",3 CAR,3 PVT,"NISSAN, MAZDA & BOVER BM","ALMERA, 323 & BM 100",,,,BFL,1,0,0,0,1,0,0,0,0,0,5,2,0,0,7
127,5,RS11.2,11/05/2017,2330,2335,2350,15,AKR - IPT,KM 13 IGBARA OKE,"AAA 605 XS, AKR 221 YW & MMR 176 XA & NO NOS",3 BUS & TRK,4 COM,"FOTO, TYT, PGT & TRK","BUS, HIACE , J5 & TRK",,,,"DGD, SPV &WOV",9,3,0,0,12,4,0,0,0,4,32,3,0,0,35
128,6,RS11.2,15/05/2017,1705,1715,1730,15,AKR - OND,KM 11 BOLORUNDURO,JJJ 968 DR & KJA 322 EC,JEEP & CAR,2 PVT,TYT & KIA,RAV4 & SPORTAGE,,,,SPV,2,0,0,0,2,0,0,0,0,0,5,1,0,0,6
129,7,RS11.2,16/05/2017,1310,1315,1320,5,AKR - IPT,KM 12 B4 ERO COLLEGE,KPA 328 LG,BUS,GOV,TYT,HIACE ,,,,SPV,3,2,0,0,5,0,0,0,0,0,9,5,0,0,14
130,8,RS11.2,16/05/2017,1345,1348,1350,2,AKR - IPT,KM 12.5 ERO COLLEGE,XC 265 EGB,BUS,COM,MAZDA,BUS,,,,SPV,0,0,0,0,0,0,0,0,0,0,2,1,2,1,6
131,9,RS11.2,23/05/2017,1410,1412,1418,6,AKR - OWO,KM 8 OBA ILE JUNCT. ALONG EXPRESS,"LSD 883 XF, NO NOS & MUS 142 AP",2 BUS & BIKE,2 PVT & COM,2 TYT & HAOJUE,"HIACE, SIENNA & SUZUKI",,,,WOV & SPV,1,1,0,0,2,1,0,0,0,1,19,4,0,0,23
132,10,RS11.2,26/05/2017,456,500,515,15,AKR - IPT,KM 10 IGBARA OKE,KPA 222 LG & BEKY 643 XM,BUS & TRK,2 COM,TYT & DAF,HIACE & TRK,,,,OVL & SPV,1,0,0,0,1,4,0,0,0,4,5,0,0,0,5
133,1,RS11.21,05/05/2017,1340,1345,1350,5,ORE - LAG,KM 53 ONITEA ARIFEM  FILLING STATION,XJ 434 USL,BUS,COM,HYUNDAI,BUS,,,,SPV,3,3,0,0,6,0,0,0,0,0,6,7,2,3,18
134,2,RS11.21,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3,RS11.21,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4,RS11.21,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,5,RS11.21,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,RS11.22,04/05/2017,1150,1200,1205,5,OWO - AKR,KM 10 EMURE ULI,"LND 957 XB, LND 688 EE & 50V80 FG",2 BUS & JEEP ,2 PVT & GOV,3 TYT,"SIENNA, PRADO & COASTER",,,,MDV,5,2,0,0,7,0,0,0,0,0,12,2,0,0,14
139,2,RS11.22,11/05/2017,1700,1705,1714,9,OWO - AKR,KM 28 OGBESE,GWA 407 XN,TNK,COM,DAF,TNK,,,,MDV,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3
140,3,RS11.22,18/05/2017,1805,1807,1810,3,OWO - AKR,KM 4 FIRST MOLAQ JUNC.,WWW 160 QV & AAA 760 QH,2 BIKE,2 COM,2 BAJAJ,2 BOXERS,,,,DGD,2,0,0,0,2,0,0,0,0,0,2,1,0,0,3
141,4,RS11.22,18/05/2017,1815,1818,1823,5,OWO - IKR,KM 8 AGO PANU,AG 179 ANG & MUS 747 XD,CAR & BUS,PVT & COM,NISSAN & TYT,ALMERA & HIACE,,,,DGD,4,5,0,0,9,2,0,0,0,2,6,5,0,0,11
142,5,RS11.22,18/05/2017,2235,2238,2241,3,OWO - AKR,KM 18 AMURIN,LND 259 XR & JJJ 882 XA,P/UP & CAR,2 COM,MIST & FORD,CANTER & E150,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
143,6,RS11.22,24/05/2017,1620,1624,1628,4,OWO - T/SHIP,KM 3 IMADE COLLEGE,JJJ 738 XG & NO NOS,TRK & BIKE,2 COM,DAF & BAJAJ,TRK & BOXERS,,,,DGD,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
144,7,RS11.22,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,8,RS11.22,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1,RS11.23,04/05/2017,920,921,923,2,IKR - T/SHIP,2O M  WEMA BANK OPP FRSC BASE IKR,QX 10 AKD,BIKE,COM,HAOJUE,SUZUKI,,,,BFL,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
147,2,RS11.23,06/05/2017,330,334,337,3,IKR - OWO,KM 02 SHAKUME ,XA 860 CRC,BUS,COM,FIAT,J5,,,,SPV,1,1,0,0,2,0,0,0,0,0,9,1,0,0,10
148,3,RS11.23,06/05/2017,1130,1133,1139,6,IKR - OWO,KM 21 OPP MTN MAST,AKR 10 MS,CAR,PVT,TYT,CAMRY,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,3,0,0,5
149,4,RS11.23,07/05/2017,705,709,721,12,IKR - ISUA,KM 18 OKIA HILL,DJA 02 XA,TRK,COM,MAN DIESEL,TRK,,,,BFL,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
150,5,RS11.23,07/05/2017,1143,1144,1146,2,IKR - OWO,KM 02 SHAKUME BRIDGE ,MKA 411 YJ,BUS,COM,FIAT,J5,,,,SPV,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2
151,6,RS11.23,13/05/2017,320,323,336,13,IKR - AJW,KM 19 GEDEGEDE BRIDGE,ABJ 872 YJ,BUS,COM,TYT,HIACE ,,,,SPV,6,0,1,0,7,10,0,2,0,12,16,0,3,0,19
152,7,RS11.23,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,RS11.24,07/05/2017,2200,2202,2208,6,OND - T/SHIP,KM 04 OGBODU STREET ODOTU,LND 812 QB,BIKE,COM,BAJAJ,BOXERS,,,,SPV,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2
